permit_id,permit_num,revision_num,permit_type_id,application_date,issued_date,completed_date,est_const_cost,description,dwelling_units_created,dwelling_units_lost,ward_id,structure_type_id,work_type_id,status_id,builder_id,address_id,address_id,street_num,postal,street_id,,,,,,,
13183,24 123940 BLD,0,2,2024-03-11,2024-05-13,NULL,200000.00,Base Building Work in Preparation for New Tenant  UNIT 3B  Front Entrance and Back Exterior Wall Modification (See drawing A2032 and A5033).Minor Sprinkler Adjustments,0,0,44462,162,73,32,NULL,8,8,1,M4W,8,,,,,,,
14585,17 275306 HVA,2,10,2018-11-08,2018-12-05,NULL,NULL,"Revision #02 - Added ecology unit, condenser unit and make up air unit to serve tenant CRU#6 on P1 level. Drawings M01 and M02.Revision #01 - Changes in design level P1, Valet Pcik-Up/Drop-Off Area and new entrance vestibule.HVAC - Proposed interior alterations to existing retail unit for tenacnt fit-out *First Capital Realty Inc* unit CRU#6.",0,0,44462,162,20,44,NULL,8,8,1,M4W,8,,,,,,,
18188,23 235431 BLD,0,2,2023-12-13,2024-03-12,NULL,200000.00,Proposed interior base build work for new tenant - CRU#3B.,0,0,44462,162,67,21,NULL,8,8,1,M4W,8,,,,,,,
18650,23 238733 HVA,0,10,2023-12-27,2024-02-06,NULL,NULL,HVAC - Proposed Interior alterations on the ground and 2nd floor of the building - Base Building Work in Preparation for New Tenant,0,0,44462,162,20,21,NULL,8,8,1,M4W,8,,,,,,,
20067,23 232725 BLD,0,2,2023-12-05,2024-01-10,NULL,150000.00,Proposed base building work for new tenant. - CRU#3A.,0,0,44462,162,67,21,NULL,8,8,1,M4W,8,,,,,,,
22269,23 238733 BLD,0,2,2023-12-27,2024-01-25,NULL,150000.00,Proposed Interior alterations on the ground and 2nd floor of the building - Base Building Work in Preparation for New Tenant,0,0,44462,162,67,21,NULL,8,8,1,M4W,8,,,,,,,
22299,18 174464 BLD,0,2,2018-06-08,2018-06-27,NULL,10000.00,Proposal for interior alterations to unit CRU #5 & #9 to create demising walls on the ground floor of an existing condo building.,0,0,44462,109,67,21,NULL,8,8,1,M4W,8,,,,,,,
22855,18 139649 BLD,0,2,2018-04-06,2018-06-28,NULL,5000000.00,Proposal for interior alteration on the ground floor of the of the existing building.,0,0,44462,162,67,21,NULL,8,8,1,M4W,8,,,,,,,
23376,18 174464 HVA,0,10,2018-06-08,2018-07-09,NULL,NULL,HVAC - Proposal for interior alterations to unit CRU #5 & #9 to create demising walls on the ground floor of an existing condo building.,0,0,44462,109,20,32,NULL,8,8,1,M4W,8,,,,,,,
23537,23 232725 HVA,0,10,2023-12-05,2024-01-11,NULL,NULL,HVAC - Proposed base building work for new tenant. - CRU#3A.,0,0,44462,162,20,32,NULL,8,8,1,M4W,8,,,,,,,
26490,24 123940 HVA,0,10,2024-03-11,2024-05-13,NULL,NULL,"HVAC - Base Building Work in Preparation for New Tenant  UNIT 3B  Front Entrance and Back Exterior Wall Modification (See drawing A2032 and A5033).Minor Sprinkler Adjustments,FP Drwgs",0,0,44462,162,20,32,NULL,8,8,1,M4W,8,,,,,,,
27743,18 174448 BLD,0,2,2018-06-08,2018-06-21,NULL,20000.00,Proposal for interior alterations to unit CRU #4 & #10 to create demising walls on the ground floor and create washrooms on the 2nd floor of an existing condo building.,0,0,44462,109,67,21,NULL,8,8,1,M4W,8,,,,,,,
1614,15 260226 BLD,3,2,2018-05-04,2018-09-25,NULL,0.00,REV - 03 -  Proposal for stand-alone shoring for Soil Remediation,0,0,44359,120,111,44,NULL,9,9,1,M4W,9,,,,,,,
2380,22 102049 PLB,0,16,2022-01-10,2022-06-22,NULL,NULL,"Plumbing  - Fit out for Hotel Amenities (Lobby, Restaurant, Fitness Area and Public washrooms) and back of house spaces for Hotel services and staff (Offices, Washrooms, Change rooms and Kitchen) in Connection with New Mixed Use building.",0,0,44359,107,21,32,NULL,9,9,1,M4W,9,,,,,,,
4495,21 247526 BLD,0,2,2021-12-11,2022-06-22,NULL,50000.00,Proposed interior alterations for fit-out of cafeteria with bar and lounge and kitchen space,0,0,44359,162,67,32,NULL,9,9,1,M4W,9,,,,,,,
5286,19 106142 HVA,1,10,2023-09-06,2023-10-19,NULL,NULL,Revision 01. Updated mechanical changes check the attached letterHVAC - Proposal to construct a 86 storey mixed use building with 4 levels of below grade commercial parking and one level of below grade commercial space.,0,0,44359,106,20,44,NULL,9,9,1,M4W,9,,,,,,,
5703,22 141771 HVA,0,10,2022-05-03,2022-10-12,NULL,NULL,"HVAC - Fit out for Hotel Suites Levels 7-16 (10 floor plates) with back of house Hotel Service Room, in connection with new mixed use building",0,0,44359,107,20,32,NULL,9,9,1,M4W,9,,,,,,,
7618,19 106142 BLD,0,12,2019-01-18,2022-08-04,NULL,485000000.00,Proposal to construct an 86 storey mixed use apartment building with 4 levels of below grade commercial parking and one level of below grade commercial space.,416,0,44359,106,75,21,NULL,9,9,1,M4W,9,,,,,,,
10427,21 247526 HVA,0,10,2021-12-11,2022-06-22,NULL,NULL,HVAC - Proposed interior alterations for fit-out of cafeteria with bar and lounge and kitchen space,0,0,44359,162,20,32,NULL,9,9,1,M4W,9,,,,,,,
